rumor_id,publish_date,rumor_type,article_title,article_content,search_expression,source,article_url
80016,2020-01-21,wish,放烟花爆竹可以消毒，预防瘟疫,农业上确实有在大棚中燃烧硫磺杀灭害虫细菌的做法...,(烟花|爆竹)+(消毒|瘟疫),医学博士、副主任医师、中华医学会科普分会青年委员,https://vp.fact.qq.com/article?id=a54f4a260301565af3454048724350f5
80021,2020-01-21,wish,白醋放在暖气片上可以消毒室内空气,首先，食醋中的主要成分是乙酸，一般在食醋中的比例是6%-8%左右...,白醋+(暖气|暖气片),医学博士、副主任医师、中华医学会科普分会青年委员,https://vp.fact.qq.com/article?id=c277f00c36576e096ef010fb452bc91b
80031,2020-01-22,wish,新型冠状病毒抗体能治疗和预防肺炎,京天成这次通报成功研制的抗体叫“2019冠状病毒N蛋白抗体”...,抗体+N蛋白+治疗,药理学硕士，知贝儿科药师,https://vp.fact.qq.com/article?id=d024bb6fdb1f60a8a785dd83c9a935d4
80034,2020-01-22,dread,戴多层口罩，才能有效预防新型冠状病毒,就医用口罩而言，只要正确佩戴合格产品...,多层+(佩戴|戴)+口罩,医学博士、副主任医师、中华医学会科普分会青年委员,https://vp.fact.qq.com/article?id=f8fefa75b7d1f0296c3656714c06d8b9
80035,2020-01-22,wish,谣言:吸烟能预防病毒性肺炎,,(香烟吸烟|抽烟)+预防,科学辟谣,https://piyao.kepuchina.cn/h5/rumordetail?id=dgYm
80040,2020-01-22,wish,辟谣侠盟丨专家辟谣燃放烟花爆竹能防治肺炎：反而有害！这9大谣言别信,,(烟花|爆竹)+防治,0,https://moment.rednet.cn/content/2020/01/22/6643622.html
80044,2020-01-22,wish,谣言:燃放烟花遏制呼吸道疾病,,(烟花|爆竹)+遏制,科学辟谣,https://piyao.kepuchina.cn/h5/rumordetail?id=eyAZ
80048,2020-01-22,wish,大蒜能对抗新型冠状病毒吗？有多大的效果呢？听专家怎么说,【大蒜能对抗新型冠状病毒吗？有多大的效果呢？听专家怎么说】这几天新型冠状病毒感染的病例数，每天都在增加，随着春运大迁徙，全国的人都有机会接触到新型冠状病毒...【我的诊室】了解更多>>网页链接【文章详情】点击↓↓↓ 大蒜能对抗新型冠状病毒吗？有多大的效果呢？听专家怎么说,大蒜+(预防|防病毒|防护|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),微博辟谣,https://www.weibo.com/1866405545/IryEtbMs3
80053,2020-01-22,dread,辟谣：大V@荞麦chen 宣称“当年SARS消失，主要是气温因素，它并没有被攻克或者治愈，到现在都没有疫苗”。该言论与事实不符，虽然SARS的传染与气候相关，但没有证据表明这是主要因素。重要的是，我国已研制出SARS灭活疫苗（图2，并告知语文差的人这句话驳斥的是“到现在都没有疫苗”）。而且传染病领域防控远远大于治疗，医学本来就是这样的，又怎么能说没战胜过SARS呢。鉴于该谣言被转发4.4万，客观上造成了很大不良影响，希望@微博辟谣 @微博客服 尽快处理。也希望各路大V在敏感时期保持谨慎好，不要散布不实信息。补充：有个问题是我不能理解的，为什么还有人觉得气温是主要原因。照这么理解，越南、新加坡或者菲律宾这种国家就不该比韩国感染人数多吧。我有讲，它和气候有关，但没有证据表明这是主要因素。 最后，我再把中科院的文章补在这里，信也好，不信也罢，大家自己权衡吧。我最迷惑的是，为什么一些没怎么接触过医学的人，聊起SARS特别有自信。,,气温+消失+(sars|SARS|非典),"荞麦chen,微博辟谣,微博客服",https://www.weibo.com/1866405545/IqDmx4i0b
80067,2020-01-23,wish,钟南山院士建议盐水漱口防病毒,钟南山院士并未给出盐水漱口防病毒的建议...,盐水+漱口+(杀灭|预防|治疗|防病毒|防感染|抗病毒|防肺炎|对抗|抵抗|杀死|抵御|消灭|阻挡|遏制|抑制|消除|杀毒|除菌|杀病毒),医学博士、副主任医师、中华医学会科普分会青年委员,https://vp.fact.qq.com/article?id=9f065d6a729245d5dfaa18759f10f088
